,Memberships,continent,Year,City,Country,Latitude,Longitude,Population,NO2,Pw_NO2,PAF_NO2,Cases_NO2,Rates_NO2,Pop_ped,city_area,NAME_LIST,Slope,Base_GDP,GDP,Base_NO2,Base_Population,NO2T,BaseT,LogGDP,State,Region,Predicted,Actual,pc_dif,abs_dif,Residuals,PerCapita,ConcPercChange,ConcChange_Score,slope_Score,resid_Score,Total_Score,GDPBins,PopChange,PopChangeBins,Base_PerCapita,Base_Pop_ped,location_name_x,asthma_2010,location_name_y,asthma_2019,ActualAF,PredictedAF,BaseAF,Actual_Cases,Predicted_Cases,Base_Cases,Cases_Residual,Rates_Residual
0,0,North America,2019,Midland,United States,32.0061,-102.116,115016,13.62,13.93,22.9538,210,186.02,29518,61819601.95,Midland,0.2447272727272728,12454083,42692344,10.27,99140,2.611539300721366,3.2046840717924128,16.33755907891778,TX,SGP,9.301173742,13.619999999999996,31.709443890139564,31.709443890139564,4.318826257837008,233.5697388145441,32.61927945472249,1.0,1.0,1.0,1.0,"(64.503, 393.912]",15876,"(12925.5, 28675.0]",90.92230699,27448,TX,2776.859302081202,TX,2862.518949212457,0.27004629448408246,0.19342712591036204,0.21128618094888385,228.1778696362841,163.43786388336179,161.0407089280841,64.74000575292231,219.32382191517826
1,0,North America,2019,Fargo,United States,46.8571,-96.8225,201843,16.23,17.48,28.5117,390,194.69,44333,151065827.2,Fargo,0.2204242424242424,10500662,13773534,14.18,171247,2.7868613815265,3.765634076752546,16.166948860759383,ND,NGP,12.907508146995134,16.229999999999997,20.471299155914128,20.471299155914128,3.3224918530048626,55.95699282942981,14.456981664315942,0.7693761204239373,0.9797290466080276,0.8591942211918598,0.8694331294079416,"(52.756, 64.503]",30596,"(28675.0, 1016891.0]",50.207808973721455,40718,ND,2236.9632792916013,ND,2467.980579316682,0.31277554542334474,0.25792698828667604,0.2794326710168582,342.2170544136596,282.20561190544004,254.52032852066438,60.011442508219545,135.3651738168397
2,0,North America,2019,Atascocita,United States,29.9943,-95.1759,67052,13.78,14.02,23.0786,130,192.48,17582,31891384.36,Atascocita,0.0235757575757575,383629600,465337054,13.17,56756,2.6232182655855123,3.629049462324811,19.76518806170879,TX,SGP,9.962542148222363,13.779999999999998,27.702887168197627,27.702887168197627,3.817457851777633,65.85449113660357,4.631738800303716,0.6446157154782367,0.8155393792336466,0.9291447042854256,0.7964332663324362,"(64.503, 393.912]",10296,"(4574.0, 12925.5]",64.18331857699363,15964,TX,2776.859302081202,TX,2862.518949212457,0.27274052378401614,0.20566184945973098,0.2624151426021969,137.26705500361936,103.50715768328895,116.328060383993,33.75989732033041,192.01397634131732
3,0,North America,2019,Lowell,United States,42.6392,-71.3191,122068,12.56,13.63,22.3206,170,135.91,24621,40975363.89,Lowell,0.0292727272727273,342090303,424318154,12.96,119403,2.5305171610400525,3.6,19.650585304033083,MA,NE,9.010565109263876,12.56,28.25983193261245,28.25983193261245,3.549434890736123,87.07500504307494,-3.086419753,0.5466109536740221,0.8202911737943586,0.8912666770037403,0.7527229348240404,"(64.503, 393.912]",2665,"(-137344.0, 4574.0]",75.00846977287861,26183,MA,2689.6697329704443,MA,2938.0421834795,0.25194316519160853,0.18799170302687362,0.25882668701674705,182.2494793302895,135.98856698099175,182.27512930029104,46.26091234929774,187.89209353518436
4,0,North America,2019,Odessa,United States,31.8687,-102.361,108616,12.41,12.23,20.0588,190,175.55,29591,66801873.71,Odessa,0.003575758,9318819,13456927,11.3,97124,2.518502599216516,3.361547262794322,16.04754646189433,TX,SGP,10.009839222990092,12.409999999999998,19.340538090329613,19.340538090329613,2.400160777009905,80.95706971959356,9.823008849557516,0.7105341830918619,0.7988575472651905,0.7288468751155198,0.7460795351575241,"(64.503, 393.912]",11492,"(4574.0, 12925.5]",67.94866017718473,28495,TX,2776.859302081202,TX,2862.518949212457,0.24934539444166093,0.2065296588280262,0.229839423285647,211.2075132479963,174.94053078742692,181.86413446565558,36.26698246056938,122.56085451850015
5,0,North America,2019,Sioux Falls,United States,43.5308,-96.7401,155685,15.27,14.96,24.5045,290,187.71,36898,94966228.08,Sioux Falls,0.1219999999999999,14969717,18681077,14.95,133103,2.725890119230541,3.866522985836241,16.52153985,SD,NGP,13.307675378169668,15.27,12.850848865948484,12.850848865948484,1.9623246218303336,69.48952323561467,2.1404682274247517,0.6129816958612636,0.8976342129208371,0.6669701994517827,0.7258620360779612,"(64.503, 393.912]",22582,"(12925.5, 28675.0]",65.26733955354028,33940,SD,1961.054760554216,SD,2196.323808692745,0.2973578840230251,0.2647582893963567,0.292142178708817,240.97869805704852,214.56000095025243,194.44457142111668,26.41869710679609,71.59926583228383
6,0,North America,2019,Idaho Falls,United States,43.4917,-112.008,94431,11.96,12.02,19.656,170,185.23,27080,55979827.0,Idaho Falls,0.021757576,5447110,7594402,11.73,76562,2.481567748522486,3.424908757908742,15.510595750764438,ID,NW,9.42583434589556,11.960000000000004,21.18867603766255,21.18867603766255,2.534165654104441,50.12277251247393,1.9607843137254937,0.6107000791983862,0.8140228490546961,0.7477849555349791,0.7241692945960206,"(42.965, 52.756]",17869,"(12925.5, 28675.0]",41.076163185280144,23692,ID,1900.1507220606911,ID,1984.6557762503023,0.24149782922955765,0.19574756059069753,0.23745522330480873,129.79174871712056,105.20350546102374,106.89847316555088,24.588243256096817,90.79853491911676
7,1,North America,2019,Las Cruces,United States,32.3116,-106.772,87180,13.03,12.99,21.3435,140,165.69,22336,41878605.47,Las Cruces,-0.038666667,7047717,6937711,12.99,74181,2.567254391136754,3.60416425818802,15.76821429255703,NM,SW,10.128707694119612,13.03,22.266249469534834,22.266249469534834,2.901292305880389,31.795921079768096,0.3079291762894469,0.5897122136446085,0.7636234961075724,0.7996686944421447,0.7176681347314419,"(11.959, 42.965]",12999,"(12925.5, 28675.0]",33.47479789871662,20637,NM,2810.849559949122,NM,2749.987205818311,0.2600247745124916,0.20870648093040622,0.259340390431535,159.7168744215648,128.19527242442445,150.4368831224908,31.52160199714035,141.12465077516273
8,0,North America,2019,The Villages,United States,28.9477,-81.9816,78014,9.99,10.39,16.3022,50,59.9,9443,56796709.01,The Villages,0.066969697,1892292,3724600,9.38,52833,2.301584592660462,3.062678566222711,14.453299350723745,FL,SE,8.272209922408894,9.99,17.19509587178284,17.19509587178284,1.717790077591106,28.70553055058881,6.503198294243064,0.6683794073823373,0.8517338995046001,0.6324116448338691,0.7175083172402689,"(11.959, 42.965]",25181,"(12925.5, 28675.0]",20.25574823378292,7773,FL,2621.526042376902,FL,2822.016027539578,0.20616576315132173,0.17401648817706183,0.19489517629930941,54.93966559445357,46.37243120406856,39.714027705123,8.56723439038501,90.72576925113852
9,0,North America,2019,Kingwood,United States,30.0651,-95.21,80624,11.83,11.95,19.4823,130,160.1,21004,45845536.24,Kingwood,-0.011939394,383629600,465337054,11.77,64583,2.470638677990296,3.4307433596816885,19.76518806170879,TX,SGP,9.182653120782073,11.830000000000002,22.378249190345976,22.378249190345976,2.6473468792179293,65.85449113660357,0.5097706032285514,0.5922751852177567,0.7859164897381458,0.7637801580204829,0.7139906109921285,"(64.503, 393.912]",16041,"(12925.5, 28675.0]",64.18331857699363,18084,TX,2776.859302081202,TX,2862.518949212457,0.2392155187532763,0.1912147728393203,0.23815982971164495,143.82677098737275,114.96663546702594,119.59606345738828,28.860135520346816,137.4030447550315
10,0,North America,2019,Saint Cloud,United States,45.5766,-94.1956,101617,11.88,12.27,20.0468,140,142.37,23767,84007366.46,Saint Cloud,0.029939394,8157925,9842096,11.4,90232,2.474856313934499,3.3763886032268267,15.91450040538762,MN,MW,9.957497040239211,11.88,16.182684846471265,16.182684846471265,1.922502959760786,48.73193242360025,4.210526315789477,0.6392671820258309,0.8208472348599738,0.6613424502604036,0.7071522890487362,"(42.965, 52.756]",11385,"(4574.0, 12925.5]",43.09886202742968,22788,MN,2352.703348485056,MN,2421.969379976639,0.2400941420588616,0.2055692255352175,0.23161729941726905,138.2052619521163,118.33170280940557,124.17791825107629,19.873559142710732,83.61829066651548
11,0,North America,2019,Spring Hill,United States,28.4757,-82.5652,101172,8.11,8.46,13.1843,70,69.58,17954,80703197.37,Spring Hill,0.083515152,119867616,146964582,7.84,78725,2.0930978681273213,2.8,18.60189849177328,FL,SE,6.533432307842416,8.109999999999998,19.439798916862912,19.439798916862912,1.5765676921575815,46.000737441197984,3.4438775510204027,0.6295323172832964,0.8655343241330501,0.6124535586033121,0.7025067333398862,"(42.965, 52.756]",22447,"(12925.5, 28675.0]",42.976920285854014,15757,FL,2621.526042376902,FL,2822.016027539578,0.17091417901541306,0.14014824151414884,0.16572449482289053,86.59619107859054,71.00817481265399,68.45645652401191,15.588016265936545,86.82196873084852
12,3,North America,2019,Houston,United States,29.7832,-95.4097,5543890,13.96,14.99,24.5666,11280,203.42,1458413,3448215961.0,Houston; Pasadena; The Woodlands; Sugar Land,-0.112606061,383629600,465337054,14.57,4526999,2.6361960973342264,3.817066936798463,19.76518806170879,TX,SGP,10.763051506404572,13.96,22.900777174752356,22.900777174752356,3.1969484935954284,65.85449113660357,-4.186684969,0.5326398451936267,0.7019512688302497,0.8414519547298142,0.6920143562512302,"(64.503, 393.912]",1016891,"(28675.0, 1016891.0]",64.18331857699363,1275032,TX,2776.859302081202,TX,2862.518949212457,0.27575964704150335,0.22022256179281718,0.28589821975832186,11512.234082529465,9193.708030934822,10122.467967772398,2318.526051594643,158.97595890839173
13,0,North America,2019,Abilene,United States,32.4416,-99.7493,94537,10.81,10.89,17.7003,120,130.89,22295,70797600.92,Abilene,-0.04769697,6010804,6794629,9.85,91371,2.3804716316511167,3.138470965295043,15.60906907460231,TX,SGP,9.257168256155328,10.81,14.364770988387331,14.364770988387331,1.5528317438446706,39.55079600686865,9.746192893401023,0.7095587782159704,0.7560913962187847,0.6090991038421998,0.691583093,"(11.959, 42.965]",3166,"(-137344.0, 4574.0]",36.44214597947145,23440,TX,2776.859302081202,TX,2862.518949212457,0.2210681885332132,0.19260640922029748,0.20359310183751278,141.0854083660628,122.92114066282348,132.51789904990352,18.164267703239332,81.47238261152425
14,0,North America,2019,Port St. Lucie,United States,27.2776,-80.3656,159739,8.92,8.96,14.1659,140,87.84,32582,89647371.38,Port St. Lucie,0.049515152,14055495,15820394,8.72,114982,2.188295946591918,2.952964612,16.458523980485953,FL,SE,7.433059149935453,8.919999999999998,16.669740471575626,16.669740471575626,1.4869408500645456,32.332906189901024,2.293577981651368,0.6149258752777762,0.8371752097866746,0.599787151,0.683962745,"(11.959, 42.965]",44757,"(28675.0, 1016891.0]",33.06537326915748,25999,FL,2621.526042376902,FL,2822.016027539578,0.18629033629479996,0.15784122128047606,0.18252047359731294,171.28823804802636,145.13015125860863,124.40058062685557,26.158086789417723,80.28385853973889
15,1,North America,2019,Boise,United States,43.6185,-116.304,421078,9.9,10.12,16.2915,530,125.24,103596,259908494.7,Boise; Meridian,-0.021454545,24411266,32869996,9.93,331747,2.2925347571405443,3.151190251317746,17.01055530501442,ID,NW,8.041876119,9.9,18.768928088633228,18.768928088633228,1.8581238807746896,43.88183542774448,-0.302114804,0.5819659080293414,0.7779799818016377,0.6522441532311896,0.6707300143540563,"(42.965, 52.756]",89331,"(28675.0, 1016891.0]",39.39245175844852,88048,ID,1900.1507220606911,ID,1984.6557762503023,0.20451286515906175,0.16960781933604197,0.20506421320469348,420.4833586594604,348.71774679728946,343.0815966530802,71.76561186217094,69.2745008129377
16,2,North America,2019,Portland,United States,43.6582,-70.2933,103478,8.88,9.3,14.7699,90,86.23,20530,84967596.62,Portland,0.034666667,25620720,29816430,8.81,98153,2.1838015570040787,2.968164415931166,17.058911957082476,ME,NE,7.5280210646531796,8.88,15.22498801,15.22498801,1.3519789353468212,11.959000024466343,0.7945516458569839,0.5958913195658774,0.8247902133252452,0.580713819,0.6671317838810386,"(11.959, 42.965]",5325,"(4574.0, 12925.5]",11.476266922762685,21213,ME,2728.6282444228914,ME,2790.965749897935,0.18553775712568865,0.1596874645817593,0.18421906834350554,106.31040157502429,91.49856476212533,106.63040134108799,14.81183681289896,72.14728111494865
